sentence,label
She viewed her volunteering at the food shelf as a full-meal deal .,1
In Three Maine Partitions with their several Sections Members and Subsections.,0
Namsaying ?,1
He hit the brakes on his fed sled .,1
A cowgirl is rounding up a calf.,0
He would destroy all things that are fixed.,0
We've been doing some work to improve the plumbing of the website.,1
He played one season for the Steamers before being released.,0
That person is all jacked up .,1
That place is way out in Bum Fucked Egypt .,1
I got to leak the lizard .,1
Their coach was HeinzFriedrich Lindner.,0
"That was a big chokker , man.",1
I am not afraid of you.,0
We raked leaves until the world looked level .,1
What a naff sweater!,1
He died at Paris.,0
Adam must have verbal diarrhea because what he is saying makes no sense.,1
"C'mon, don't play it like that .",1
Chelamma is a Scorpion goddess and is worshipped along with Kolaramma in Kolar.,0
That girl is hurtin' .,1
For decades researchers believed spicules could send heat into the corona.,0
An elderly man in a very unique shirt sits and smokes a cigarette.,0
Have you got any chud ?,1
This bong is the goat .,1
I don’t think I’m more courageous than most people.,0
I thought that was Peter Parker.,0
Was that cake eaten by troops or eaten by snakes ?,1
As a result it became known as Arncot Prioris.,0
He also wore the captains armband in many of the matches.,0
"Yo , that party was a pre- Draft Camp !",1
I'm strictly dickly .,1
I was so drunk last night I had to call Ralph on the big white telephone .,1
A man on a motorbike in midair.,0
The Abel transform may be extended to higher dimensions.,0
Did you catch Letterman on the squawk box last night?,1
Mats also sang vocals on the song Jennyfer.,0
Both drugs have been known to cause suicidal thoughts or ideation.,0
He attended the public schools of Omaha and the gymnasium at BadenBaden Germany.,0
Healy is an avid supporter of Newcastle United.,0
It was done pretty quickly in about five days or something.,0
A girl in a red shirt is rock climbing.,0
A white dog walks over the short grass.,0
We use some fancy tech at work.,1
Mom done shit a brick over this!,1
"Person A: How's it going? Person B: Swell , just swell .",1
"Full throttle , baby !",1
I can't meet you right now. There are some cling-ons who have been here since noon.,1
It was written by Lawrie Wyman and starred Frank Thornton and Derek Francis.,0
Let's ship out .,1
Would you like a Coke ?,1
"Man , my Honda got stolen, but I bounced back with a brand new Cadillac on 22s!",1
A girl rides her bike in a crosswalk at an intersection.,0
"Person A: Hey if you go to this website you can get 2 books for free, no strings attached! Person B: Really?  Man!  You can't beat that with a bat !",1
China Eastern and Qantas subsequently announced the end of the investment.,0
To go to the dogs.,0
The elaborate costumes and masks are handmade by artisans from various countries.,0
Save your sister a piece or she will be mad.,0
Tom resigned as he wasnt feeling valued at work.,0
Gehrels also discovered a number of comets.,0
There were some total GMILFs at the wedding.,1
I'll take a skeet at it.,1
I'm tired of that hussy .,1
Lovers were impracticable people.,0
Man with redhair in green pants under an umbrella posing for a picture.,0
I'm just here to read the meter .,1
My work oppo and I went to dinner.,1
After construction ended the canal quickly fell into disrepair.,0
"""I was wonderin' if I could talk ."" meaning ""I was wonderin' if I could get to know you better.""",1
"I lost my matches, so I had to monkey jump my cigarette.",1
She was about to tickle the bean when I walked in on her.,1
"You've got a real throbber there, fella .",1
Hey dude ! you got a jologs attitude.,1
Boyfriend stealing Thot .,1
"This food is broke .  She's got a nice body, but her face is broke as hell.",1
Watch your French .,1
Several older people stand in front of a food booth.,0
But his championship of the German language was without equal.,0
Not all web servers provide forward secrecy.,0
I was shocked.,0
The noun is often an instrumental complement.,0
I know she is very beautiful this morning.,0
The name was for Mr Square the philosopher character in Henry Fieldings Tom Jones.,0
A male teenager rides his skateboard onto a large rock.,0
It is named after Mainz ancient Moguntiacum.,0
I thought at the time and still think that the Nuremberg trials were unprincipled.,0
Don't slam me because I screwed up.,1
The Oligarchy wanted violence and it set its agents provocateurs to work.,0
Deep Learning is mostly being used for perception in self driving cars.,0
"I got to relax, man. I'm too curley !",1
Several girls are involved in a volleyball match and wearing uniforms.,0
Your mom rode the sped bus to school.,1
A man in an orange jacket is speaking with a cashier.,0
The Tektronix DirectView Bistable Storage Tube was perhaps the best example in this category.,0
We're so close to shipping the software that I'm going to have to special-case this bug.,1
Loo in Hong Kong and together they won third prize.,0
Dimethoxyethane forms chelate complexes with cations and acts as a bidentate ligand.,0
By the want of it we have been overthrown.,0
A man in a green scarf is bearing his teeth.,0
He came in and crop dusted us.,1
I root for this team.,0
The girl with two boyfriends is a skeezer .,1
I vacuumed the room.,0
He's into the daddy/ LG scene.  It creeps me out .,1
Y'all clown too much.,1
The belly is white.,0
My mom's meatloaf yesterday was totally jankety !,1
A woman riding a bicycle past a car and a group of people on a sidewalk.,0
We're going to get down to it in stark .,1
Swamp sparrows breed across the northern United States and boreal Canada.,0
We fixed some of our business processes.  Now we're cooking on all four burners .,1
Don't listen to him: he's not playing with a full deck .,1
In the Discourse he presents his method for obtaining clarity on any subject.,0
The following definitions will assist understanding of this article.,0
‘Serpent’ screamed the Pigeon.,0
A recording of the shot has gained upwards of two million views on YouTube.,0
It has a semiprehensile tail needle sharp teeth and a long snout.,0
The milk had curdled and gone off.,0
Dora Keith  Dora Davys sister is completely the contrary of her brother.,0
They argued that the sites potential for historical study had not been fully realised.,0
Moreover the car was back in town at four.,0
Toms devoted to me.,0
Let's go to McDonald's and strap on a feed-bag .,1
He got rocked in the face.,1
"Person 1: Will you loan me five dollars? Person 2: Sorry man , I'm tapped out .",1
"Man, that girl is fine. I'd really like to give it to her with my lady stabber .",1
Did you hear that Patrick came out of the closet yesterday?,1
The beaten path is safest.,0
Look at the size of the front butt on that broad .,1
The Tehran Conference took place during his administration.,0
So you noticed that.,0
It is poor Twittequette to have significantly more followers than those you are following.,1
Two young boys engage one another during a game of flag football.,0
Another video board was installed at Worthen Arena.,0
Each Open and Womens team can nominate a single player for the award.,0
It came pouring out as if an enema had been administered: like shit through a tin horn .,1
From there I looked back and saw that I was still undiscovered.,0
He got hit playing football and it really scrambled his brains .,1
Consider two even integers x and y.,0
He is getting the L-Spot .,1
Would you kill her?,1
Vegetables farms and citrus groves are also important industries in Ellenton.,0
A dog runs on the beach.,0
Beavis has a more volatile unpredictable nature.,0
A woman with a crossbody black purse is walking near a stairway with silver railing.,0
His epitaph was written by his grandson Henry Stephanus.,0
I need to right get out of here!,1
Boyfriend: I'm horny . Girlfriend: So go beat it .,1
First Canadian Place is named for Canadas first bank the Bank of Montreal.,0
His composition was accepted exactly as he had written it.,0
Why are you being so flip about this?,1
We're going to hit up the bar later.,1
Current negotiations are ongoing.,0
The people were also praying to heaven for protection.,0
"OMG ! Thx so much, Sal.",1
Let's score a dub .,1
That new guy they hired is a real no-op .,1
"Speaker: Do you want to shop for monitors? Response: ACK , but we don't need to buy one today.",1
Rather a bad lookout for me.,0
Idol judges Randy Jackson and Paula Abdul were not familiar with the song.,0
Play some lyn paul.,0
The gymnast's leotard ripped and you could see her sideways sloppy joe,1
The NumPy stack is also sometimes referred to as the SciPy stack.,0
You want to step ?,1
My girlfriend couldn't go out tonight because she's watching chick flicks with her friends.,1
Have you ever been to her house?  Her grandmother's a total GILF !,1
What do you mean I should pay for that?  Are you a member of the MAFIAA or something?,1
I want to book a delicatessen serving testaroli in Somalia for 7252027.,0
"Hang loose , dude !",1
We can't watch TV here because it's deaded .,1
She's a rasp / I'd like to rasp her / get that thing rasping.,1
That girl is such a dick tease !,1
Hey penis cap ... where do you think you're goin'?,1
ODays World Series appearances include four of the first five played.,0
Two dogs run through the snow one with a tennis ball.,0
There is an ogreish kind of jocularity in Grandfather today.,0
The Englishman had been profoundly impressed by the story.,0
"She's a lovely girl, proper nice.",1
The people I once pegged as losers outnumbered the winners.,1
We've got brats and dogs .  Which would you like?,1
All salvageable items were to be removed and sold or stored.,0
Box Elder is the headquarters of the ChippewaCree tribe.,0
Creagorry is in the south of the island near the causeway to South Uist.,0
It's time to get over it just Diva Up and keep moving.,1
I can't believe you smoke Vagina Slimes .,1
He always up in my Kool-Aid .,1
"Our first album was awesome, but we faced a bit of a sophomore slump .",1
You're a dead ringer for your brother.,1
The games featured a central figure an intelligent egglike creature called Dizzy.,0
"' Sup , dogg ?",1
Sorry I've got to leave the party.  I need to buckle down and look for a new job.,1
Can you find me the movie The Countess.,0
The dragons are out tonight.,1
I was late so I hauled ass over here.,1
Because Mil had recently accepted a bookpublishing deal he declined the offer.,0
Put the artist Pat Monahan onto the emily dickinson playlist.,0
"Hondas, when they were first manufactured, were pretty rinky-dink cars.",1
"Man, this book is FEEB !",1
It is also available in intravenous ampules and vials.,0
Excuse me while I eject a sinus oyster .,1
It is better to have your car rust out than Tate out .,1
I'll just pick up a street dog for lunch.,1
This strait connects the Inland Sea with the Pacific Ocean.,0
Its single story was high.,0
Conversational and acquiescent on both sides.,0
She cheated on me.  I broke up with her. Enough said .,1
I had no wish to tear myself away unless I had to.,0
"Man , he was three sheets to the wind last night.  How much did he drink?!",1
"He lives out in Bumfuck, Egypt .",1
